Date : 2025-04-25 11:16:38
Directory : c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src
Total : 1189 files,  759776 codes, 226233 comments, 116295 blanks, all 1102304 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\ARMCLANG\startup_armv7-m.S                                | arm-debugger.arm |        138 |          0 |         22 |        160 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC\Retarget.c                                            | C                |         69 |         15 |         23 |        107 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC\startup_armv6-m.S                                     | arm-debugger.arm |        233 |          0 |         31 |        264 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC\startup_armv7-m.S                                     | arm-debugger.arm |        231 |          0 |         27 |        258 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\startup_generic.S                                         | arm-debugger.arm |         63 |          0 |          6 |         69 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM0.c                                           | C                |         13 |         35 |          9 |         57 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM23.c                                          | C                |         31 |         38 |         14 |         83 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM3.c                                           | C                |         19 |         38 |         12 |         69 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM33.c                                          | C                |         45 |         38 |         17 |        100 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM4.c                                           | C                |         32 |         38 |         14 |         84 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM7.c                                           | C                |         34 |         38 |         14 |         86 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMSC000.c                                         | C                |         13 |         35 |          9 |         57 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMSC300.c                                         | C                |         22 |         38 |         13 |         73 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMv8MBL.c                                         | C                |         25 |         38 |         14 |         77 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMv8MML.c                                         | C                |         46 |         38 |         16 |        100 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_generic.c                                          | C                |         19 |          0 |          9 |         28 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\all_tests.c                                                    | C                |         45 |          6 |         12 |         63 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\abs_tests.c                                   | C                |         25 |          3 |          5 |         33 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\add_tests.c                                   | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\basic_math_test_common_data.c                 | C                |         60 |         22 |         20 |        102 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\basic_math_test_group.c                       | C                |         15 |          0 |          3 |         18 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\dot_prod_tests.c                              | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\mult_tests.c                                  | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\negate_tests.c                                | C                |         25 |          3 |          5 |         33 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\offset_tests.c                                | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\scale_tests.c                                 | C                |         42 |          4 |          7 |         53 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\shift_tests.c                                 | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\sub_tests.c                                   | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_conj_tests.c                          | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_dot_prod_tests.c                      | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mag_squared_tests.c                   | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mag_tests.c                           | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mult_cmplx_tests.c                    | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mult_real_test.c                      | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\complex_math_test_common_data.c             | C                |         85 |         10 |         20 |        115 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\complex_math_test_group.c                   | C                |         12 |          0 |          3 |         15 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\controller_test_common_data.c                 | C                |        484 |          6 |         10 |        500 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\controller_test_group.c                       | C                |          9 |          3 |          2 |         14 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\pid_reset_tests.c                             | C                |         36 |         11 |          6 |         53 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\pid_tests.c                                   | C                |         65 |         10 |          5 |         80 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\sin_cos_tests.c                               | C                |        100 |         34 |         18 |        152 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests\fast_math_tests.c                              | C                |         25 |          6 |          8 |         39 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests\fast_math_tests_common_data.c                  | C                |        355 |          8 |          8 |        371 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\biquad_tests.c                                 | C                |        211 |         10 |         24 |        245 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\conv_tests.c                                   | C                |        348 |         78 |         48 |        474 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\correlate_tests.c                              | C                |        203 |         74 |         34 |        311 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\filtering_test_common_data.c                   | C                |        702 |         26 |         30 |        758 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\filtering_test_group.c                         | C                |         12 |          3 |          3 |         18 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\fir_tests.c                                    | C                |        378 |          6 |         19 |        403 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\iir_tests.c                                    | C                |         66 |          6 |          5 |         77 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\lms_tests.c                                    | C                |        205 |          6 |          9 |        220 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests\intrinsics_tests.c                            | C                |         53 |          6 |          4 |         63 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests\intrinsics_tests_common_data.c                | C                |        180 |          5 |          5 |        190 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\main.c                                                         | C                |         23 |          0 |          9 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\math_helper.c                                                  | C                |        258 |        152 |        100 |        510 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_add_tests.c                                   | C                |         24 |          3 |          5 |         32 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_cmplx_mult_tests.c                            | C                |         43 |          9 |          8 |         60 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_init_tests.c                                  | C                |         48 |          6 |          5 |         59 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_inverse_tests.c                               | C                |         64 |         10 |         19 |         93 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_mult_fast_tests.c                             | C                |         41 |          9 |          8 |         58 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_mult_tests.c                                  | C                |         43 |          9 |          8 |         60 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_scale_tests.c                                 | C                |         73 |          7 |         11 |         91 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_sub_tests.c                                   | C                |         24 |          6 |          5 |         35 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_trans_tests.c                                 | C                |         23 |          6 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\matrix_test_common_data.c                         | C                |        196 |         42 |         22 |        260 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\matrix_test_group.c                               | C                |         15 |          3 |          2 |         20 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\max_tests.c                                   | C                |         26 |          6 |          5 |         37 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\mean_tests.c                                  | C                |         26 |          6 |          5 |         37 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\min_tests.c                                   | C                |         26 |          6 |          5 |         37 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\power_tests.c                                 | C                |         26 |          6 |          5 |         37 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\rms_tests.c                                   | C                |         24 |          6 |          5 |         35 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\statistics_test_common_data.c                 | C                |         62 |         14 |         19 |         95 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\statistics_test_group.c                       | C                |         13 |          0 |          2 |         15 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\std_tests.c                                   | C                |         24 |          6 |          5 |         35 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\var_tests.c                                   | C                |         24 |          6 |          5 |         35 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\copy_tests.c                                     | C                |         26 |          3 |          5 |         34 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\fill_tests.c                                     | C                |         26 |          6 |          5 |         37 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\support_test_common_data.c                       | C                |         52 |         18 |         16 |         86 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\support_test_group.c                             | C                |          9 |          0 |          2 |         11 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\x_to_y_tests.c                                   | C                |         62 |          7 |         12 |         81 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\cfft_family_tests.c                            | C                |        101 |         69 |         14 |        184 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\cfft_tests.c                                   | C                |        117 |         12 |         16 |        145 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\dct4_tests.c                                   | C                |        166 |         24 |          8 |        198 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\rfft_fast_tests.c                              | C                |         64 |          7 |          5 |         76 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\rfft_tests.c                                   | C                |         80 |         10 |          5 |         95 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\transform_test_group.c                         | C                |         10 |          0 |          2 |         12 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\transform_tests_common_data.c                  | C                |      3,253 |         38 |         21 |      3,312 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\CMSIS\RTX_Config.c                                  | C                |         25 |         33 |          6 |         64 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\CMSIS\RTX_Config.h                                  | C++              |        191 |        291 |         97 |        579 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\CMSIS\handlers.c                                    | C                |         99 |         41 |         14 |        154 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5\mem_ARMCA5.h                          | C++              |         19 |         65 |         11 |         95 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5\mmu_ARMCA5.c                          | C                |         70 |        137 |         29 |        236 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5\startup_ARMCA5.c                      | C                |         69 |         53 |         17 |        139 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5\system_ARMCA5.c                       | C                |         31 |         47 |         16 |         94 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\Device\ARMCA5\system_ARMCA5.h                       | C++              |         14 |         41 |         11 |         66 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\RTE\RTE_Components.h                                    | C++              |          7 |         10 |          4 |         21 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\DspLibTest_FVP_A5\main.c                                                  | C                |         10 |         18 |          7 |         35 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\CMakeLists.txt                                                    | CMake            |         67 |          0 |         12 |         79 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\inc\ref.h                                                         | C++              |      1,071 |         80 |        251 |      1,402 |
